"commodity","measure","Unit","Date","Value"
"Aluminum","real 2010 US dollars","$/mt","1960","2671.88414502955"
"Aluminum","real 2010 US dollars","$/mt","1961","2620.89398959006"
"Aluminum","real 2010 US dollars","$/mt","1962","2505.41998371683"
"Aluminum","real 2010 US dollars","$/mt","1963","2555.93647606559"
"Aluminum","real 2010 US dollars","$/mt","1964","2658.06647945263"
"Aluminum","real 2010 US dollars","$/mt","1965","2703.54774949841"
"Aluminum","real 2010 US dollars","$/mt","1966","2607.41680674756"
"Aluminum","real 2010 US dollars","$/mt","1967","2584.69871971848"
"Aluminum","real 2010 US dollars","$/mt","1968","2669.49800495428"
"Aluminum","real 2010 US dollars","$/mt","1969","2696.31653897396"
"Aluminum","real 2010 US dollars","$/mt","1970","2645.62073968159"
"Aluminum","real 2010 US dollars","$/mt","1971","2572.01864882187"
"Aluminum","real 2010 US dollars","$/mt","1972","2215.71320959815"
"Aluminum","real 2010 US dollars","$/mt","1973","1939.69389079517"
"Aluminum","real 2010 US dollars","$/mt","1974","2031.93586142251"
"Aluminum","real 2010 US dollars","$/mt","1975","2077.45806635487"
"Aluminum","real 2010 US dollars","$/mt","1976","2103.06351734006"
"Aluminum","real 2010 US dollars","$/mt","1977","2500.59686718984"
"Aluminum","real 2010 US dollars","$/mt","1978","2492.43455021185"
"Aluminum","real 2010 US dollars","$/mt","1979","2703.04427429802"
"Aluminum","real 2010 US dollars","$/mt","1980","2721.24245842062"
"Aluminum","real 2010 US dollars","$/mt","1981","1933.77137830719"
"Aluminum","real 2010 US dollars","$/mt","1982","1565.12222323855"
"Aluminum","real 2010 US dollars","$/mt","1983","2332.32155878418"
"Aluminum","real 2010 US dollars","$/mt","1984","2074.59483217228"
"Aluminum","real 2010 US dollars","$/mt","1985","1743.61984577221"
"Aluminum","real 2010 US dollars","$/mt","1986","1675.05255089891"
"Aluminum","real 2010 US dollars","$/mt","1987","2080.76059327645"
"Aluminum","real 2010 US dollars","$/mt","1988","3183.56692634532"
"Aluminum","real 2010 US dollars","$/mt","1989","2450.30745675792"
"Aluminum","real 2010 US dollars","$/mt","1990","1983.06310320296"
"Aluminum","real 2010 US dollars","$/mt","1991","1589.73814222131"
"Aluminum","real 2010 US dollars","$/mt","1992","1503.15922224651"
"Aluminum","real 2010 US dollars","$/mt","1993","1319.52586907097"
"Aluminum","real 2010 US dollars","$/mt","1994","1763.74539460847"
"Aluminum","real 2010 US dollars","$/mt","1995","1964.37856260036"
"Aluminum","real 2010 US dollars","$/mt","1996","1669.82793276238"
"Aluminum","real 2010 US dollars","$/mt","1997","1861.37143401551"
"Aluminum","real 2010 US dollars","$/mt","1998","1652.00657776371"
"Aluminum","real 2010 US dollars","$/mt","1999","1688.87772462046"
"Aluminum","real 2010 US dollars","$/mt","2000","1947.13528573823"
"Aluminum","real 2010 US dollars","$/mt","2001","1885.1321058588"
"Aluminum","real 2010 US dollars","$/mt","2002","1783.71432346723"
"Aluminum","real 2010 US dollars","$/mt","2003","1797.65605375534"
"Aluminum","real 2010 US dollars","$/mt","2004","2017.57144537222"
"Aluminum","real 2010 US dollars","$/mt","2005","2164.5474154314"
"Aluminum","real 2010 US dollars","$/mt","2006","2857.66568442122"
"Aluminum","real 2010 US dollars","$/mt","2007","2764.51762199169"
"Aluminum","real 2010 US dollars","$/mt","2008","2501.98304645207"
"Aluminum","real 2010 US dollars","$/mt","2009","1725.92732738959"
"Aluminum","real 2010 US dollars","$/mt","2010","2173.117"
"Aluminum","real 2010 US dollars","$/mt","2011","2162.6320845341"
"Aluminum","real 2010 US dollars","$/mt","2012","1835.51047159843"
"Aluminum","real 2010 US dollars","$/mt","2013","1682.61409425971"
"Aluminum","real 2010 US dollars","$/mt","2014","1725.09930715935"
"Aluminum","real 2010 US dollars","$/mt","2015","1700.91022104152"
"Aluminum","real 2010 US dollars","$/mt","2016","1706.03176291255"
"Aluminum","real 2010 US dollars","$/mt","2017","2022.46291157022"
"Aluminum","real 2010 US dollars","$/mt","2018","2069.97349302965"
"Aluminum","real 2010 US dollars","$/mt","2019","1803.86844926953"
"Aluminum","real 2010 US dollars","$/mt","2020","1740.53796390875"
"Aluminum","real 2010 US dollars","$/mt","2021","2260.3732480195"
"Aluminum","real 2010 US dollars","$/mt","2022","2303.12402440755"
"Aluminum","real 2010 US dollars","$/mt","2023","1976.98437043529"
"Aluminum","nominal US dollars","$/mt","1960","511.47183227539"
"Aluminum","nominal US dollars","$/mt","1961","511.47183227539"
"Aluminum","nominal US dollars","$/mt","1962","498.06039174398"
"Aluminum","nominal US dollars","$/mt","1963","498.79526519775"
"Aluminum","nominal US dollars","$/mt","1964","525.98563130697"
"Aluminum","nominal US dollars","$/mt","1965","540.1318359375"
"Aluminum","nominal US dollars","$/mt","1966","540.1318359375"
"Aluminum","nominal US dollars","$/mt","1967","540.1318359375"
"Aluminum","nominal US dollars","$/mt","1968","552.99208577474"
"Aluminum","nominal US dollars","$/mt","1969","588.44986979167"
"Aluminum","nominal US dollars","$/mt","1970","614.17045084635"
"Aluminum","nominal US dollars","$/mt","1971","627.94932047526"
"Aluminum","nominal US dollars","$/mt","1972","590.10331217448"
"Aluminum","nominal US dollars","$/mt","1973","599.10548909505"
"Aluminum","nominal US dollars","$/mt","1974","764.81943766276"
"Aluminum","nominal US dollars","$/mt","1975","868.4365641276"
"Aluminum","nominal US dollars","$/mt","1976","889.931640625"
"Aluminum","nominal US dollars","$/mt","1977","1143.83034261068"
"Aluminum","nominal US dollars","$/mt","1978","1324.92150878907"
"Aluminum","nominal US dollars","$/mt","1979","1602.86822509766"
"Aluminum","nominal US dollars","$/mt","1980","1774.91284179688"
"Aluminum","nominal US dollars","$/mt","1981","1262.73028564453"
"Aluminum","nominal US dollars","$/mt","1982","991.56666666667"
"Aluminum","nominal US dollars","$/mt","1983","1438.43333333333"
"Aluminum","nominal US dollars","$/mt","1984","1251.325"
"Aluminum","nominal US dollars","$/mt","1985","1040.725"
"Aluminum","nominal US dollars","$/mt","1986","1149.935"
"Aluminum","nominal US dollars","$/mt","1987","1565.36083333333"
"Aluminum","nominal US dollars","$/mt","1988","2550.45583333333"
"Aluminum","nominal US dollars","$/mt","1989","1951.25666666667"
"Aluminum","nominal US dollars","$/mt","1990","1639.445"
"Aluminum","nominal US dollars","$/mt","1991","1302.18833333333"
"Aluminum","nominal US dollars","$/mt","1992","1254.28333333333"
"Aluminum","nominal US dollars","$/mt","1993","1139.04916666667"
"Aluminum","nominal US dollars","$/mt","1994","1476.7825"
"Aluminum","nominal US dollars","$/mt","1995","1805.6575"
"Aluminum","nominal US dollars","$/mt","1996","1505.66083333333"
"Aluminum","nominal US dollars","$/mt","1997","1599.33"
"Aluminum","nominal US dollars","$/mt","1998","1357.46916666667"
"Aluminum","nominal US dollars","$/mt","1999","1361.09"
"Aluminum","nominal US dollars","$/mt","2000","1549.14083333333"
"Aluminum","nominal US dollars","$/mt","2001","1443.63416666667"
"Aluminum","nominal US dollars","$/mt","2002","1349.915"
"Aluminum","nominal US dollars","$/mt","2003","1431.29375"
"Aluminum","nominal US dollars","$/mt","2004","1715.541"
"Aluminum","nominal US dollars","$/mt","2005","1898.30808333333"
"Aluminum","nominal US dollars","$/mt","2006","2569.89875"
"Aluminum","nominal US dollars","$/mt","2007","2638.17916666667"
"Aluminum","nominal US dollars","$/mt","2008","2572.78916666667"
"Aluminum","nominal US dollars","$/mt","2009","1664.8295"
"Aluminum","nominal US dollars","$/mt","2010","2173.117"
"Aluminum","nominal US dollars","$/mt","2011","2401.38666666667"
"Aluminum","nominal US dollars","$/mt","2012","2023.28319284294"
"Aluminum","nominal US dollars","$/mt","2013","1846.66896845003"
"Aluminum","nominal US dollars","$/mt","2014","1867.42"
"Aluminum","nominal US dollars","$/mt","2015","1664.68083333333"
"Aluminum","nominal US dollars","$/mt","2016","1604.18166666667"
"Aluminum","nominal US dollars","$/mt","2017","1967.65416666667"
"Aluminum","nominal US dollars","$/mt","2018","2108.475"
"Aluminum","nominal US dollars","$/mt","2019","1794.48833333333"
"Aluminum","nominal US dollars","$/mt","2020","1703.98666666667"
"Aluminum","nominal US dollars","$/mt","2021","2472.84833333333"
"Aluminum","nominal US dollars","$/mt","2022","2705.01916666667"
"Aluminum","nominal US dollars","$/mt","2023","2255.73916666667"
